date,PM2_5,PM2_5_index,PM10,PM10_index,SO2,SO2_index,NO2,NO2_index,CO,CO_index,O3,O3_index
2013-03-01,7.326388888888889,Excellent,12.896545955196625,Excellent,9.416614611804498,Excellent,25.871867243318682,Excellent,423.90485668303336,Excellent,68.25428342943634,Excellent
2013-03-02,31.475694444444443,Excellent,40.838897977598315,Excellent,31.783306037499294,Excellent,56.59957162487208,Good,953.2702509395648,Excellent,32.66490510860976,Excellent
2013-03-03,79.29166666666667,Lightly Polluted,111.10416666666667,Good,49.27024595381927,Excellent,76.28857182201754,Good,1771.422800187913,Excellent,22.788194444444443,Excellent
2013-03-04,22.739469238411214,Excellent,41.04585151075218,Excellent,18.795534842708157,Excellent,43.62934904951388,Good,731.4150448202704,Excellent,56.833333333333336,Excellent
2013-03-05,129.33155652170925,Moderately Polluted,159.23611111111111,Lightly Polluted,70.17703127847116,Good,100.71921224395832,Lightly Polluted,2024.5525403921924,Good,79.52777777777777,Excellent
2013-03-06,203.78819444444446,Heavely Polluted,231.38888888888889,Lightly Polluted,99.43331437083263,Good,124.36404131353068,Lightly Polluted,2781.778234836637,Good,45.60069444444444,Excellent
2013-03-07,241.02083333333334,Heavely Polluted,276.3479348440855,Moderately Polluted,83.55496817604148,Good,139.0865130443677,Lightly Polluted,3762.6137724101354,Good,48.1875,Excellent
2013-03-08,200.6228482097134,Heavely Polluted,247.05626817741884,Lightly Polluted,59.50606841701337,Good,112.6499067943677,Lightly Polluted,2846.0348254167425,Good,92.11458333333333,Excellent
2013-03-09,60.935837283298014,Good,198.30992217382956,Lightly Polluted,28.442291057635718,Excellent,44.81488738812132,Good,1130.7345924592353,Excellent,90.17361111111111,Excellent
2013-03-10,38.01785018469573,Good,62.96746108691478,Good,21.32398731597046,Excellent,46.32078422196636,Good,774.5017250409168,Excellent,85.96875,Excellent
2013-03-11,122.84375,Moderately Polluted,160.10763888888889,Lightly Polluted,84.35763888888889,Good,83.01388888888889,Lightly Polluted,1617.9168951960962,Excellent,79.98611111111111,Excellent
2013-03-12,126.29513888888889,Moderately Polluted,123.78472222222223,Good,30.603579287152602,Excellent,80.28915684439328,Lightly Polluted,1747.5341398284536,Excellent,39.829861111111114,Excellent
2013-03-13,17.20138888888889,Excellent,22.581286354837697,Excellent,13.243055555555555,Excellent,35.06915193325658,Excellent,538.5648074346852,Excellent,73.80555555555556,Excellent
2013-03-14,96.92361111111111,Lightly Polluted,106.80902777777777,Good,50.15219039826371,Good,72.97916666666667,Good,1426.1687455719223,Excellent,76.05208333333333,Excellent
2013-03-15,205.02083333333334,Heavely Polluted,223.27430555555554,Lightly Polluted,68.0625,Good,103.83207842219663,Lightly Polluted,2177.799650563739,Good,53.30555555555556,Excellent
2013-03-16,238.13194444444446,Heavely Polluted,234.29513888888889,Lightly Polluted,64.65972222222223,Good,94.98958333333333,Lightly Polluted,2314.034950751652,Good,80.57986111111111,Excellent
2013-03-17,284.1875,Severely Polluted,290.5625,Moderately Polluted,68.02083333333333,Good,113.24305555555556,Lightly Polluted,2483.708082663515,Good,101.80208333333333,Good
2013-03-18,69.46875,Good,98.0625,Good,13.739583333333334,Excellent,39.18055555555556,Excellent,847.9583111929446,Excellent,89.15172916666667,Excellent
2013-03-19,36.517361111111114,Good,36.75,Excellent,9.072916666666666,Excellent,41.267361111111114,Good,768.906456389041,Excellent,30.579605404159913,Excellent
2013-03-20,46.833333333333336,Good,43.90277777777778,Excellent,10.895833333333334,Excellent,38.232638888888886,Excellent,864.4357528186945,Excellent,42.63624285610841,Excellent
2013-03-21,134.32638888888889,Moderately Polluted,142.86111111111111,Good,23.78125,Excellent,72.51832351105993,Good,1372.7964068709464,Excellent,24.200020482490547,Excellent
2013-03-22,76.07638888888889,Lightly Polluted,117.13888888888889,Good,21.493055555555557,Excellent,51.88194444444444,Good,868.8092563072074,Excellent,53.1544759899946,Excellent
2013-03-23,50.270833333333336,Good,77.21527777777777,Good,25.805555555555557,Excellent,49.825803866513155,Good,1074.9292654331093,Excellent,36.54647063388619,Excellent
2013-03-24,17.12152777777778,Excellent,29.92361111111111,Excellent,9.190972222222221,Excellent,31.824633821761683,Excellent,585.0153411195986,Excellent,64.74532341166396,Excellent
2013-03-25,98.06597222222223,Lightly Polluted,126.0,Good,40.00883611111111,Excellent,70.3750362082054,Good,1263.958075156092,Excellent,41.10215067996219,Excellent
2013-03-26,178.80483829212668,Heavely Polluted,214.8875090887094,Lightly Polluted,56.68979746319409,Good,82.95205877764985,Lightly Polluted,1665.2051928350613,Excellent,23.148386702211422,Excellent
2013-03-27,93.57291666666667,Lightly Polluted,118.90834242204275,Good,16.541027232290432,Excellent,43.80313059966739,Good,1022.7135305964724,Excellent,50.59884290415991,Excellent
2013-03-28,24.006944444444443,Excellent,44.83195353315387,Excellent,7.7051750000000006,Excellent,32.59492465277778,Excellent,556.2696685457963,Excellent,69.84788149025752,Excellent
2013-03-29,73.29861111111111,Good,111.50520833333333,Good,31.155944444444444,Excellent,65.20497529719664,Good,1365.5985933988002,Excellent,39.07309134939313,Excellent
2013-03-30,77.66319444444444,Lightly Polluted,105.86458333333333,Good,52.704861111111114,Good,55.00347222222222,Good,1590.0194400163666,Excellent,49.9693362480245,Excellent
2013-03-31,166.26041666666666,Heavely Polluted,183.63541666666666,Lightly Polluted,19.270833333333332,Excellent,63.888888888888886,Good,1353.0512724101352,Excellent,12.101987053054206,Excellent
